===== Starting battle of <DecoyBot> vs <CleanUpOnAisleSix> with memory tape size: 15 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | >5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | >6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | >7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | >8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | >9 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | >10 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >0 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-1 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-2 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-3 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-4 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-5 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-6 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-7 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-8 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-9 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | >-10 | 0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | >0 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | >1 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | >0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | >-1 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | >0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | >1 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | >0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | >-1 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | >0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | >1 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1 | >1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1 | >0< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1 | 0< | >-4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1< | 0 | >-4 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1< | 0 | >-5 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 2< | 0 | >-5 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 2< | 0 | >-6 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1< | 0 | >-6 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 1< | 0 | >-7 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 0< | 0 | >-7 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 0< | 0 | >-8 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1 | 0< | 0 | >-8 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1< | 0 | 0 | >-9 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | -1< | 0 | 0 | >-9 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | 0< | 0 | 0 | >-10 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | 0< | 0 | 0 | >-10 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1 | 0< | 0 | 0 | >-11 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1< | 0 | 0 | 0 | >-11 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1< | 0 | 0 | 0 | >-12 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 2< | 0 | 0 | 0 | >-12 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 2< | 0 | 0 | 0 | >-13 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1< | 0 | 0 | 0 | >-13 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1< | 0 | 0 | 0 | >-14 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0< | 0 | 0 | 0 | >-14 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0< | 0 | 0 | 0 | >-15 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0< | 0 | 0 | 0 | >-15 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1< | 0 | 0 | 0 | 0 | >-16 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | -1< | 0 | 0 | 0 | 0 | >-16 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | 0 | 0 | 0 | 0 | >-17 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | 0 | 0 | 0 | 0 | >-17 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1 | 0< | 0 | 0 | 0 | 0 | >-18 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 0 | 0 | 0 | 0 | >-18 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 0 | 0 | 0 | 0 | >-19 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | 0 | 0 | 0 | 0 | >-19 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | 0 | 0 | 0 | 0 | >-20 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 0 | 0 | 0 | 0 | >-20 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 0 | 0 | 0 | 0 | >-21 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 0 | 0 | 0 | 0 | >-21 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 0 | 0 | 0 | 0 | >-22 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 0 | 0 | 0 | 0 | >-22 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | >-23 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | >-23 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 0 | 0 | 0 | 0 | >-24 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 0 | 0 | 0 | 0 | >-24 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | >-25 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | >-25 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -11< | 0 | 0 | 0 | 0 | 0 | 0 | >-26 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -11< | 0 | 0 | 0 | 0 | 0 | 0 | >-26 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -12< | 0 | 0 | 0 | 0 | 0 | 0 | >-27 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -12< | 0 | 0 | 0 | 0 | 0 | 0 | >-27 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -13< | 0 | 0 | 0 | 0 | 0 | 0 | >-28 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -13< | 0 | 0 | 0 | 0 | 0 | 0 | >-28 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -14< | 0 | 0 | 0 | 0 | 0 | 0 | >-29 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -14< | 0 | 0 | 0 | 0 | 0 | 0 | >-29 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -15< | 0 | 0 | 0 | 0 | 0 | 0 | >-30 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -15< | 0 | 0 | 0 | 0 | 0 | 0 | >-30 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -16< | 0 | 0 | 0 | 0 | 0 | 0 | >-31 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -16< | 0 | 0 | 0 | 0 | 0 | 0 | >-31 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -17< | 0 | 0 | 0 | 0 | 0 | 0 | >-32 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -17< | 0 | 0 | 0 | 0 | 0 | 0 | >-32 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 10 | -18< | 0 | 0 | 0 | 0 | 0 | 0 | >-33 | 0 | 0 | 0 | 0 | 128 ]
