===== Starting battle of <Dumbot> vs <TruthBot> with memory tape size: 23 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ -78 | 3< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 3< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 2< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 2< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 1< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 1< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 0< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78 | 0< | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -77< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -76< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -75< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -74< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -74< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -75< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -75< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -76< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -76< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -77< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -77< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -78< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -79< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -79< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -80< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -80< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -81< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -81< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -82< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -82< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -83< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -83< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -84< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -84< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -85< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -85< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -86< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -86< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -87< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -87< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -88< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -88< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -89< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -89< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -90< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -90< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -91< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -91< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -92< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -92< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -93< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -93< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -94< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -94< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -95< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -95< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -96< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -96< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -97< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -97< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -98< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -98< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -99< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -99< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -100< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -100< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -101< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -101< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -102< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -102< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -103< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -103< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -104< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -104< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -105< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -105< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -106< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -106< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -107< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -107< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -108< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -108< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -109< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -109< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -110< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -110< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -111< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -111< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -112< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -112< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -113< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -113< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -114< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -114< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -115< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -115< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -116< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -116< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -117< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -117< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -118< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -118< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -119< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -119< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -120< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -120< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -121< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -121< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -122< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -122< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -123< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -123< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -124< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | -1 | >-5 | -4 | 2 | -4 | 2 | -4 | 2 | -4 | 2 | 128 ]
