===== Starting battle of <FastTrapClearBot> vs <Backtracker> with memory tape size: 26 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -34< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-39 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -35< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-40 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -35< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-40 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -36< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-41 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -36< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-41 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -37< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-42 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -37< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-42 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -38< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-43 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -38< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-43 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -39< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-44 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -39< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-44 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -40< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-45 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -40< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-45 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -41< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-46 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -41< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-46 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -42< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-47 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -42< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-47 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -43< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-48 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -43< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-48 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -44< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-49 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -44< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-49 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -45< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-50 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -45< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-50 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-51 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-51 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-52 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-52 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-53 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-53 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-54 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-54 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-55 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-55 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-56 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-56 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-57 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-57 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-58 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-58 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-59 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-59 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-60 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-60 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-61 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-61 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-62 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-62 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-63 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-63 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-67 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-67 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-68 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-68 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-69 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-69 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-70 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-70 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-71 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-71 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-72 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-72 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-73 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-73 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-74 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-74 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-75 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-75 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-76 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-76 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-77 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-77 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-78 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-78 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-79 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-79 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-80 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-80 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-81 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-81 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-82 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-82 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-83 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-83 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-84 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-84 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-85 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-85 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-86 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-86 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-87 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-87 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-88 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-88 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-89 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-89 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-90 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-90 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-91 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-91 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-92 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-92 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-93 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-93 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-94 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-94 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-95 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-95 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-96 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-96 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-97 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-97 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-98 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-98 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-99 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-99 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-100 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-100 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-101 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-101 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-102 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-102 | 1 | -1 | 4 | -4 | 1 | -1 | 4 | 0 | 128 ]
