===== Starting battle of <PyBot> vs <DontUnderstand> with memory tape size: 19 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >126 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ >125 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ >124 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ >123 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ >122 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | >0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | >0 | 0 | 0 | 0 | -1< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | >-1 | 0 | 0 | 0 | -2< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | -1 | >0 | 0 | 0< | -2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | -1 | 0 | >0< | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | -1 | 0 | >0< | 0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | -1 | 0< | 0 | >0 | -2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | -1 | -1< | 0 | 0 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | -1< | -1 | 0 | 0 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | >2 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | >0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | >0 | 0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | >0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | >0 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | >1 | 0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | >0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | >0 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | >1 | 0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | >0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | >0 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | >1 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | >2 | 0 | 128 ]
[ 122 | 0 | -1 | 0 | 0< | -1 | 0 | 0 | -3 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | >3 | 0 | 128 ]
