===== Starting battle of <PatientBot> vs <DecoyMaster> with memory tape size: 16 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | 4< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | >1 | 0 | 0 | 0 | 0 | 0 | 5< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | >0 | 0 | 0 | 0 | 0 | 6< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | >-1 | 0 | 0 | 0 | 0 | 7< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | >0 | 0 | 0 | 0 | 8< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | >-1 | 0 | 0 | 0 | 9< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | >0 | 0 | 0 | 10< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | >1 | 0 | 0 | 10 | 0< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | >0 | 0 | 10 | -1< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | >-1 | 0 | 10 | -2< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >0 | 10 | -3< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >1 | 10 | -4< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >1 | 10 | -5< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >0 | 10 | -6< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >0 | 10 | -7< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >0 | 10 | -8< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >10 | -9< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >11 | -10< | 0 | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >11 | -10 | 0< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >10 | -10 | 1< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >10 | -10 | 2< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >9 | -10 | 3< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | >9 | -10 | 4< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | >0 | 9 | -10 | 5< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | >-1 | 0 | 9 | -10 | 6< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | -1 | >1 | -1 | 0 | 9 | -10 | 7< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | -1 | >-1 | 1 | -1 | 0 | 9 | -10 | 8< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | 1 | >-1 | -1 | 1 | -1 | 0 | 9 | -10 | 9< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | 1 | >1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 10< | 0 | 128 ]
[ 128 | 0 | -1 | -1 | >1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 11< | 0 | 128 ]
[ 128 | 0 | -1 | >-1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 12< | 0 | 128 ]
[ 128 | 0 | >-1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 13< | 0 | 128 ]
[ 128 | 0 | >-1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 14< | 0 | 128 ]
[ 128 | >0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 15< | 0 | 128 ]
[ 128 | >0 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 16< | 0 | 128 ]
[ 128 | >1 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 17< | 0 | 128 ]
[ 128 | >2 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 18< | 0 | 128 ]
[ 128 | >3 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 19< | 0 | 128 ]
[ 128 | >4 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 20< | 0 | 128 ]
[ 128 | >5 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 21< | 0 | 128 ]
[ 128 | >6 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 22< | 0 | 128 ]
[ 128 | >7 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 23< | 0 | 128 ]
[ 128 | >8 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 24< | 0 | 128 ]
[ 128 | >9 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 25< | 0 | 128 ]
[ 128 | >10 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 26< | 0 | 128 ]
[ 128 | >11 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 27< | 0 | 128 ]
[ 128 | >12 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 28< | 0 | 128 ]
[ 128 | >13 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 29< | 0 | 128 ]
[ 128 | >14 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30< | 0 | 128 ]
[ 128 | >15 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | 0< | 128 ]
[ 128 | >16 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -1< | 128 ]
[ 128 | >17 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -2< | 128 ]
[ 128 | >18 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -3< | 128 ]
[ 128 | >19 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -4< | 128 ]
[ 128 | >20 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -5< | 128 ]
[ 128 | >21 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -6< | 128 ]
[ 128 | >22 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -7< | 128 ]
[ 128 | >23 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -8< | 128 ]
[ 128 | >24 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -9< | 128 ]
[ 128 | >25 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -10< | 128 ]
[ 128 | >26 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -11< | 128 ]
[ 128 | >27 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -12< | 128 ]
[ 128 | >28 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -13< | 128 ]
[ 128 | >29 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -14< | 128 ]
[ 128 | >30 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -15< | 128 ]
[ 128 | >31 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -16< | 128 ]
[ 128 | >32 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -17< | 128 ]
[ 128 | >33 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -18< | 128 ]
[ 128 | >34 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -19< | 128 ]
[ 128 | >35 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -20< | 128 ]
[ 128 | >36 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -21< | 128 ]
[ 128 | >37 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -22< | 128 ]
[ 128 | >38 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -23< | 128 ]
[ 128 | >39 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -24< | 128 ]
[ 128 | >40 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -25< | 128 ]
[ 128 | >41 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -26< | 128 ]
[ 128 | >42 | -1 | -1 | 1 | 1 | -1 | -1 | 1 | -1 | 0 | 9 | -10 | 30 | -27< | 128 ]
