===== Starting battle of <DecoyBot> vs <CleverAndDetermined> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | 128 ]
[ 128 | >3 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | 128 ]
[ 128 | >4 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 128 ]
[ 128 | >5 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | 128 ]
[ 128 | >6 | 0 | 0 | 0 | 0 | 0 | 2< | -1 | 1 | 128 ]
[ 128 | >7 | 0 | 0 | 0 | 0 | 0 | 3< | -1 | 1 | 128 ]
[ 128 | >8 | 0 | 0 | 0 | 0 | 0 | 3< | -1 | 1 | 128 ]
[ 128 | >9 | 0 | 0 | 0 | 0 | 0 | 2< | -1 | 1 | 128 ]
[ 128 | >10 | 0 | 0 | 0 | 0 | 0 | 2< | -1 | 1 | 128 ]
[ 128 | 10 | >0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | 128 ]
[ 128 | 10 | >-1 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | 128 ]
[ 128 | 10 | >-2 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 128 ]
[ 128 | 10 | >-3 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 128 ]
[ 128 | 10 | >-4 | 0 | 0 | 0 | 0< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | >-5 | 0 | 0 | 0 | 1< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | >-6 | 0 | 0 | 0 | 2< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | >-7 | 0 | 0 | 0 | 3< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | >-8 | 0 | 0 | 0 | 3< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | >-9 | 0 | 0 | 0 | 2< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | >-10 | 0 | 0 | 0 | 2< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | >0 | 0 | 0 | 1< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | >1 | 0 | 0 | 1< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | >0 | 0 | 0< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | >-1 | 0 | 0< | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | >0< | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | >2< | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 3< | >0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 4< | >-1 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 4< | -1 | >0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 3< | -1 | >1 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 3< | -1 | 1 | >-1 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 2< | -1 | 1 | >-2 | 1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 2< | -1 | 1 | -2 | >1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1< | -1 | 1 | -2 | >1 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 1< | -1 | 1 | -2 | >0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0< | -1 | 1 | -2 | >0 | 128 ]
[ 128 | 10 | -10 | 1 | -1 | 0< | -1 | 1 | -2 | >0 | 128 ]
[ 128 | 10 | -10 | 1 | -1< | 0 | -1 | 1 | -2 | 0 | >128 ]
[ 128 | 10 | -10 | 1 | 0< | 0 | -1 | 1 | -2 | 0 | >128 ]
[ 128 | 10 | -10 | 1 | 1< | 0 | -1 | 1 | -2 | 0 | >127 ]
[ 128 | 10 | -10 | 1 | 2< | 0 | -1 | 1 | -2 | 0 | >127 ]
[ 128 | 10 | -10 | 1 | 2< | 0 | -1 | 1 | -2 | 0 | >126 ]
[ 128 | 10 | -10 | 1 | 1< | 0 | -1 | 1 | -2 | 0 | >126 ]
