===== Starting battle of <DecoyBot> vs <CleverAndDetermined> with memory tape size: 12 =====

[ 128 | 10 | -10 | 3< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-62 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 4< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-62 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 4< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-63 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 3< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-63 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 3< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-64 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 2< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-65 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 1< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-66 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-67 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-67 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-68 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -8< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-68 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -7< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-69 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -7< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-69 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -8< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-70 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -8< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-70 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-71 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -9< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-71 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-72 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -10< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-72 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -11< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-73 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -11< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-73 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -12< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-74 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -12< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-74 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -13< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-75 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -13< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-75 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -14< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-76 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -14< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-76 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -15< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-77 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -15< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-77 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -16< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-78 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -16< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-78 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -17< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-79 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -17< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-79 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -18< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-80 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -18< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-80 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -19< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-81 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -19< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-81 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -20< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-82 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -20< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-82 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -21< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-83 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -21< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-83 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -22< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-84 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -22< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-84 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -23< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-85 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -23< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-85 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -24< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-86 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -24< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-86 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -25< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-87 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -25< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-87 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -26< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-88 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -26< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-88 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -27< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-89 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -27< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-89 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -28< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-90 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -28< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-90 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -29< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-91 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -29< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-91 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -30< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-92 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -30< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-92 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -31< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-93 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -31< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-93 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -32< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-94 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -32< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-94 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -33< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-95 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -33< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-95 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -34< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-96 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -34< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-96 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -35< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-97 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -35< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-97 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -36< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-98 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -36< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-98 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -37< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-99 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -37< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-99 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -38< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-100 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -38< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-100 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -39< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-101 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -39< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-101 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -40< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-102 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -40< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-102 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -41< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-103 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -41< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-103 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -42< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-104 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -42< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-104 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -43< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-105 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -43< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-105 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -44< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-106 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -44< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-106 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -45< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-107 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -45< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-107 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-108 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-108 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-109 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-109 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-110 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-110 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-111 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-111 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-112 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-112 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-113 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-113 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-114 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-114 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-115 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-115 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-116 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-116 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-117 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-117 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-118 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-118 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-119 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-119 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-120 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-120 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-121 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-121 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-122 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-122 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-123 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-123 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-124 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-124 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-125 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-125 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-126 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-126 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-127 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >128 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >128 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >127 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >127 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >126 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >126 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >125 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >125 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >124 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >124 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >123 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
[ 128 | 10 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >123 | 0 | 0 | 0 | 0 | -1 | 1 | 128 ]
